Team,Player,Position,Age,Experience,College,Games_Played,Sk_total,Sk_avg,Sk_max,Solo_total,Solo_avg,Solo_max,Ast_total,Ast_avg,Ast_max,Comb_total,Comb_avg,Comb_max,TFL_total,TFL_avg,TFL_max,QBHits_total,QBHits_avg,QBHits_max,FF_total,FF_avg,FF_max,FR_total,FR_avg,FR_max
Commanders,Bobby Wagner,MLB,34.0,12,Utah St.,196,35.0,0.16990291262135923,2.0,1047.0,5.08252427184466,16.0,750.0,3.6407766990291264,13.0,1797.0,8.723300970873787,20.0,95.0,0.46116504854368934,3.0,99.0,0.48058252427184467,4.0,7.0,0.03398058252427184,1.0,11.0,0.05339805825242718,1.0
Buccaneers,Lavonte David,LB,34.0,12,Fort Scott (KS)Nebraska,192,36.5,0.17718446601941748,2.0,1081.0,5.247572815533981,14.0,476.0,2.3106796116504853,12.0,1557.0,7.558252427184466,16.0,165.0,0.8009708737864077,3.0,69.0,0.33495145631067963,3.0,31.0,0.15048543689320387,2.0,18.0,0.08737864077669903,2.0
Saints,Demario Davis,LB,35.0,12,Arkansas St.,204,43.5,0.2111650485436893,2.0,853.0,4.140776699029126,11.0,483.0,2.3446601941747574,10.0,1336.0,6.485436893203883,15.0,106.0,0.5145631067961165,4.0,100.0,0.4854368932038835,4.0,4.0,0.019417475728155338,1.0,8.0,0.038834951456310676,1.0
Cowboys,Eric Kendricks,MLB,32.0,9,UCLA,141,20.5,0.1305732484076433,2.5,700.0,4.45859872611465,12.0,423.0,2.694267515923567,9.0,1123.0,7.1528662420382165,18.0,63.0,0.4012738853503185,4.0,39.0,0.2484076433121019,3.0,7.0,0.044585987261146494,1.0,6.0,0.03821656050955414,2.0
49ers,Fred Warner,LB,28.0,6,BYU,109,10.0,0.09090909090909091,2.0,543.0,4.9363636363636365,11.0,307.0,2.790909090909091,8.0,850.0,7.7272727272727275,15.0,34.0,0.3090909090909091,2.0,30.0,0.2727272727272727,2.0,15.0,0.13636363636363635,2.0,6.0,0.05454545454545454,1.0
Bears,Tremaine Edmunds,LB,26.0,6,Virginia Tech,98,7.5,0.07009345794392523,1.0,461.0,4.308411214953271,13.0,270.0,2.5233644859813085,8.0,731.0,6.831775700934579,16.0,39.0,0.3644859813084112,2.0,21.0,0.19626168224299065,2.0,4.0,0.037383177570093455,1.0,1.0,0.009345794392523364,1.0
Giants,Bobby Okereke,LB,28.0,5,Stanford,92,6.5,0.06914893617021277,1.5,427.0,4.542553191489362,13.0,226.0,2.404255319148936,8.0,653.0,6.946808510638298,17.0,30.0,0.3191489361702128,3.0,12.0,0.1276595744680851,2.0,11.0,0.11702127659574468,2.0,7.0,0.07446808510638298,1.0
Cardinals,Kyzir White,LB,28.0,6,West Virginia,89,5.5,0.05,1.0,328.0,2.981818181818182,10.0,230.0,2.090909090909091,10.0,558.0,5.072727272727272,15.0,30.0,0.2727272727272727,2.0,16.0,0.14545454545454545,1.0,2.0,0.01818181818181818,2.0,1.0,0.00909090909090909,1.0
Lions,Alex Anzalone,LB,30.0,7,Florida,94,10.5,0.08333333333333333,2.0,336.0,2.6666666666666665,11.0,175.0,1.3888888888888888,6.0,511.0,4.055555555555555,15.0,30.0,0.23809523809523808,3.0,33.0,0.2619047619047619,2.0,3.0,0.023809523809523808,1.0,2.0,0.015873015873015872,1.0
Panthers,Josey Jewell,LB,30.0,6,Iowa,86,10.0,0.09090909090909091,2.0,290.0,2.6363636363636362,9.0,217.0,1.9727272727272727,10.0,507.0,4.609090909090909,18.0,24.0,0.21818181818181817,2.0,15.0,0.13636363636363635,2.0,5.0,0.045454545454545456,1.0,9.0,0.08181818181818182,1.0
Falcons,Rashaan Evans,LB,29.0,6,Alabama,87,5.0,0.05102040816326531,1.0,286.0,2.9183673469387754,9.0,199.0,2.0306122448979593,10.0,485.0,4.948979591836735,15.0,21.0,0.21428571428571427,2.0,16.0,0.16326530612244897,2.0,2.0,0.02040816326530612,1.0,5.0,0.05102040816326531,1.0
Cowboys,Nick Vigil,LB,31.0,8,Utah St.,106,5.0,0.03731343283582089,1.0,267.0,1.992537313432836,12.0,187.0,1.3955223880597014,7.0,454.0,3.388059701492537,17.0,20.0,0.14925373134328357,3.0,10.0,0.07462686567164178,2.0,2.0,0.014925373134328358,1.0,5.0,0.03731343283582089,1.0
Seahawks,Ernest Jones,LB,25.0,3,South Carolina,57,5.5,0.09016393442622951,1.0,229.0,3.7540983606557377,10.0,182.0,2.9836065573770494,9.0,411.0,6.737704918032787,15.0,23.0,0.3770491803278688,3.0,11.0,0.18032786885245902,2.0,1.0,0.01639344262295082,1.0,0.0,0.0,0.0
Commanders,Frankie Luvu,LB,28.0,6,Washington St.,99,27.0,0.25,2.5,248.0,2.2962962962962963,10.0,161.0,1.4907407407407407,7.0,409.0,3.787037037037037,13.0,53.0,0.49074074074074076,4.0,51.0,0.4722222222222222,3.0,6.0,0.05555555555555555,1.0,5.0,0.046296296296296294,1.0
Falcons,Matt Judon,OLB,32.0,8,Grand Valley St.,127,69.0,0.4859154929577465,3.0,267.0,1.880281690140845,12.0,133.0,0.9366197183098591,6.0,400.0,2.816901408450704,14.0,90.0,0.6338028169014085,4.0,169.0,1.1901408450704225,5.0,9.0,0.06338028169014084,1.0,4.0,0.028169014084507043,1.0
Panthers,Jadeveon Clowney,OLB,31.0,10,South Carolina,135,55.0,0.3160919540229885,2.0,264.0,1.5172413793103448,7.0,129.0,0.7413793103448276,4.0,393.0,2.2586206896551726,9.0,105.0,0.603448275862069,4.0,133.0,0.764367816091954,5.0,15.0,0.08620689655172414,1.0,9.0,0.05172413793103448,1.0
Packers,Eric Wilson,LB,30.0,7,Cincinnati,119,11.0,0.0873015873015873,2.0,203.0,1.6111111111111112,8.0,163.0,1.2936507936507937,7.0,366.0,2.9047619047619047,13.0,27.0,0.21428571428571427,4.0,23.0,0.18253968253968253,3.0,3.0,0.023809523809523808,1.0,3.0,0.023809523809523808,1.0
Vikings,Kamu Grugier-Hill,LB,30.0,8,Eastern Illinois,126,6.0,0.04285714285714286,1.0,246.0,1.7571428571428571,14.0,106.0,0.7571428571428571,10.0,352.0,2.5142857142857142,20.0,28.0,0.2,3.0,11.0,0.07857142857142857,2.0,4.0,0.02857142857142857,1.0,2.0,0.014285714285714285,1.0
Falcons,Kaden Elliss,LB,29.0,5,Idaho,76,13.0,0.13829787234042554,1.5,195.0,2.074468085106383,10.0,126.0,1.3404255319148937,7.0,321.0,3.4148936170212765,13.0,23.0,0.24468085106382978,3.0,28.0,0.2978723404255319,3.0,2.0,0.02127659574468085,1.0,2.0,0.02127659574468085,1.0
Packers,Quay Walker,LB,24.0,2,Georgia,41,5.5,0.12222222222222222,1.0,191.0,4.2444444444444445,10.0,127.0,2.8222222222222224,9.0,318.0,7.066666666666666,19.0,18.0,0.4,2.0,11.0,0.24444444444444444,2.0,3.0,0.06666666666666667,1.0,1.0,0.022222222222222223,1.0
Vikings,Andrew Van Ginkel,OLB,29.0,5,Wisconsin,84,26.0,0.2765957446808511,2.0,195.0,2.074468085106383,7.0,108.0,1.148936170212766,5.0,303.0,3.223404255319149,11.0,45.0,0.4787234042553192,3.0,71.0,0.7553191489361702,4.0,5.0,0.05319148936170213,1.0,3.0,0.031914893617021274,1.0
Giants,Brian Burns,OLB,26.0,5,Florida St.,91,52.0,0.5531914893617021,2.0,179.0,1.9042553191489362,5.0,116.0,1.2340425531914894,5.0,295.0,3.1382978723404253,9.0,69.0,0.7340425531914894,3.0,107.0,1.1382978723404256,4.0,9.0,0.09574468085106383,1.0,2.0,0.02127659574468085,1.0
Cardinals,Mack Wilson,LB,26.0,5,Alabama,88,7.0,0.07446808510638298,1.0,178.0,1.8936170212765957,8.0,113.0,1.202127659574468,5.0,291.0,3.095744680851064,9.0,13.0,0.13829787234042554,2.0,11.0,0.11702127659574468,1.0,4.0,0.0425531914893617,1.0,1.0,0.010638297872340425,1.0
Saints,Pete Werner,LB,25.0,3,Ohio St.,51,0.5,0.008064516129032258,0.5,183.0,2.9516129032258065,12.0,101.0,1.6290322580645162,5.0,284.0,4.580645161290323,13.0,14.0,0.22580645161290322,2.0,2.0,0.03225806451612903,1.0,2.0,0.03225806451612903,1.0,2.0,0.03225806451612903,1.0
Cardinals,Krys Barnes,LB,26.0,4,UCLA,65,5.0,0.0641025641025641,1.0,175.0,2.2435897435897436,8.0,96.0,1.2307692307692308,7.0,271.0,3.4743589743589745,14.0,15.0,0.19230769230769232,2.0,6.0,0.07692307692307693,1.0,1.0,0.01282051282051282,1.0,2.0,0.02564102564102564,1.0
Falcons,Lorenzo Carter,OLB,29.0,6,Georgia,90,21.5,0.19545454545454546,2.0,159.0,1.4454545454545455,6.0,106.0,0.9636363636363636,4.0,265.0,2.409090909090909,9.0,33.0,0.3,3.0,58.0,0.5272727272727272,3.0,4.0,0.03636363636363636,1.0,4.0,0.03636363636363636,1.0
Commanders,Dante Fowler,LB,30.0,8,Florida,138,53.5,0.3767605633802817,3.0,183.0,1.2887323943661972,6.0,82.0,0.5774647887323944,3.0,265.0,1.8661971830985915,7.0,66.0,0.4647887323943662,3.0,84.0,0.5915492957746479,4.0,14.0,0.09859154929577464,1.0,5.0,0.035211267605633804,1.0
Commanders,Nick Bellore,LB,35.0,13,Central Michigan,210,1.0,0.004524886877828055,0.5,185.0,0.8371040723981901,9.0,79.0,0.3574660633484163,4.0,264.0,1.1945701357466063,12.0,5.0,0.02262443438914027,1.0,3.0,0.013574660633484163,1.0,2.0,0.00904977375565611,1.0,6.0,0.027149321266968326,1.0
Lions,Ben Niemann,LB,29.0,6,Iowa,97,2.0,0.01818181818181818,1.0,154.0,1.4,6.0,97.0,0.8818181818181818,5.0,251.0,2.2818181818181817,10.0,8.0,0.07272727272727272,1.0,6.0,0.05454545454545454,1.0,1.0,0.00909090909090909,1.0,6.0,0.05454545454545454,1.0
Commanders,Mykal Walker,OLB,27.0,4,Azusa PacificFresno St.,68,1.0,0.013157894736842105,1.0,130.0,1.7105263157894737,8.0,106.0,1.394736842105263,8.0,236.0,3.1052631578947367,12.0,7.0,0.09210526315789473,2.0,4.0,0.05263157894736842,1.0,1.0,0.013157894736842105,1.0,2.0,0.02631578947368421,1.0
Giants,Micah McFadden,LB,24.0,2,Indiana,43,5.0,0.1111111111111111,1.0,140.0,3.111111111111111,9.0,96.0,2.1333333333333333,7.0,236.0,5.2444444444444445,13.0,21.0,0.4666666666666667,4.0,13.0,0.28888888888888886,3.0,2.0,0.044444444444444446,1.0,5.0,0.1111111111111111,1.0
